id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,distance
KRYM0,Ray S Miller Aaf / Camp Ripley Junction,US,MN,,KRYM,46.0912,-94.3605,351.0,America/Chicago,2012-07-13,2023-07-31,2014-02-02,2022-04-24,,,14460.33033400238
KBRD0,Brainerd / Lazy Acre's Trailer Court,US,MN,,KBRD,46.4017,-94.1356,376.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,25578.34020551761
KLXL0,Little Falls / Gregory,US,MN,,KLXL,45.9494,-94.3471,342.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2007-01-01,2022-01-01,27343.076330378986
KSAZ0,Staples,US,MN,,KSAZ,46.3809,-94.8066,393.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,50113.474420545615
KAIT0,Aitkin / Welshons Company Mobile Home Park,US,MN,,KAIT,46.5484,-93.6768,368.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2009-01-01,2022-01-01,58628.18921875331
LVKGQ,Todd Field Airport,US,MN,,K14Y,45.9017,-94.8727,406.0,America/Chicago,2022-05-06,2023-07-31,,,,,58908.233119594326
KPWC0,Pine River,US,MN,,KPWC,46.7248,-94.3817,395.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,61813.3837002143
72655,Saint Cloud / St Cloud / Cable,US,MN,72655,KSTC,45.5466,-94.0599,314.0,America/Chicago,1973-01-01,2023-07-31,1904-09-01,2023-07-23,1904-01-01,2022-01-01,71527.51773682906
KD390,Sauk Centre,US,MN,,KD39,45.7066,-94.9334,379.0,America/Chicago,2020-01-14,2023-07-31,2020-01-14,2022-04-24,2020-01-01,2022-01-01,76056.84099635953
KJMR0,Mora,US,MN,,KJMR,45.8861,-93.2718,308.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,80365.36119990873
KADC0,Wadena / West Wind Estates,US,MN,,KADC,46.4503,-95.211,417.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,81621.04330834157
KPNM0,Princeton / Princetown [Misspelling],US,MN,,KPNM,45.5599,-93.6082,299.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,83765.41597372151
KHZX0,McGregor,US,MN,,KHZX,46.6188,-93.3098,374.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2007-01-01,2022-01-01,85367.95845690789
KXVG0,Longville,US,MN,,KXVG,47.0,-94.2,407.0,America/Chicago,2006-01-01,2023-07-31,2006-01-02,2022-04-06,2008-01-01,2022-01-01,91224.7675489365
KAXN0,Alexandria / Mobile Park Estates,US,MN,,KAXN,45.8663,-95.3947,434.0,America/Chicago,1973-01-01,2023-07-31,1973-01-01,2022-04-24,1999-01-01,2022-01-01,96943.69905102001
KPEX0,Paynesville,US,MN,,KPEX,45.3721,-94.7447,361.0,America/Chicago,2005-08-12,2023-07-31,2005-08-13,2022-04-24,2011-01-01,2022-01-01,98497.4550413293
KCBG0,Cambridge / Pine Village Mobile Home Park,US,MN,,KCBG,45.5575,-93.2642,288.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-20,2007-01-01,2022-01-01,101482.59330541389
KPKD0,Park Rapids,US,MN,,KPKD,46.9007,-95.0731,440.0,America/Chicago,1990-01-11,2023-07-31,1995-07-05,2022-04-24,1998-01-01,2022-01-01,103214.86352911257
JY95F,Hinckley Field Of Dreams Airport,US,MN,,K04W,46.0244,-92.8991,311.0,America/Chicago,2022-05-06,2023-07-31,,,,,103527.04981459529
KGHW0,Glenwood / Pine Hill Park,US,MN,,KGHW,45.6439,-95.3204,425.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-15,2006-01-01,2022-01-01,103717.25052678536
KMGG0,Maple Lake,US,MN,,KMGG,45.236000000000004,-93.9856,313.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2007-01-01,2021-01-01,106547.50954786252
KROS0,Rush City / Stenger's Mobile Home Park,US,MN,,KROS,45.6971,-92.9522,282.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,111970.99149732386
KMZH0,Moose Lake,US,MN,,KMZH,46.4186,-92.8048,328.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,112144.56695814613
KY490,Walker / Benedict,US,MN,,KY49,47.1596,-94.6454,411.0,America/Chicago,2020-01-14,2023-07-31,2020-01-14,2022-04-25,2020-01-01,2022-01-01,113619.76515125902
KCFE0,Buffalo / Buffalo Manor East,US,MN,,KCFE,45.1592,-93.8433,295.0,America/Chicago,2005-01-01,2023-07-31,2005-01-01,2022-04-24,2007-01-01,2022-01-01,117253.23956469043
KLJF0,Litchfield / Evergreen Mobile Home Park,US,MN,,KLJF,45.1,-94.5,347.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2007-01-01,2022-01-01,121977.58921014128
KGPZ0,Grand Rapids / Country Acres Mobile Home Park,US,MN,,KGPZ,47.2093,-93.5099,413.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,126743.21231801175
KBDH0,Willmar / Parkwood Estates,US,MN,,KBDH,45.117,-95.1293,343.0,America/Chicago,2007-07-24,2023-07-31,2007-07-25,2022-04-24,2009-01-01,2022-01-01,137573.1995634292
KY630,Elbow Lake,US,MN,,KY63,45.9861,-95.992,368.0,America/Chicago,2014-07-31,2023-07-31,2014-08-01,2022-04-25,2020-01-01,2022-01-01,138118.20696722376
9NRIJ,Minneapolis / Blaine,US,MN,,KANE,45.1426,-93.2127,278.0,America/Chicago,2022-04-23,2023-07-31,2022-04-24,2022-04-26,,,139515.2404973502
KMIC0,Minneapolis / Brooklyn Center,US,MN,,KMIC,45.062,-93.3539,265.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2021-01-01,141477.52876866958
KCOQ0,Cloquet,US,MN,,KCOQ,46.7011,-92.5036,390.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2007-01-01,2022-01-01,143939.7948917419
KBBB0,Benson,US,MN,,KBBB,45.3319,-95.6506,317.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,145440.3772832792
KDTL0,Detroit Lakes / Richards,US,MN,,KDTL,46.8252,-95.8856,426.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,146087.93182640543
KHCD0,Hutchinson / Heatwole,US,MN,,KHCD,44.8599,-94.3825,324.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,147285.1917504076
KRZN0,Siren,US,WI,,KRZN,45.8227,-92.3725,302.0,America/Chicago,2006-01-02,2023-07-31,2006-12-14,2022-04-24,2007-01-01,2022-01-01,148345.88471912078
KFFM0,Fergus Falls / French,US,MN,,KFFM,46.2844,-96.1567,361.0,America/Chicago,2005-01-01,2023-07-31,2005-01-01,2022-04-24,2008-01-01,2022-01-01,149182.31630834218
KMOX0,Morris,US,MN,,KMOX,45.566,-95.9672,346.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,151292.42791513633
KOEO0,Osceola,US,WI,,KOEO,45.3095,-92.69,276.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,153344.24147800962
72755,Bemidji,US,MN,72755,KBJI,47.5,-94.9333,423.0,America/Chicago,2006-01-01,2023-07-31,1896-02-01,2023-07-23,1896-01-01,2022-01-01,156427.53955067048
KGYL0,Glencoe / Plato,US,MN,,KGYL,44.756,-94.0812,303.0,America/Chicago,2006-01-01,2023-07-31,2006-01-02,2022-04-24,2006-01-01,2022-01-01,158699.61774685647
KFCM0,Minneapolis / Eden Prairie,US,MN,,KFCM,44.8275,-93.4586,276.0,America/Chicago,2006-01-01,2023-07-31,2006-01-02,2022-04-24,2006-01-01,2022-01-01,161733.49691824455
KSTP0,Saint Paul,US,MN,,KSTP,44.9346,-93.0603,215.0,America/Chicago,1983-11-03,2023-07-31,1991-12-16,2022-04-24,2005-01-01,2022-01-01,165420.3241931824
KOVL0,Olivia,US,MN,,KOVL,44.7786,-95.0328,328.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,168103.2978589741
TIH4U,Lake Elmo Airport,US,MN,,K21D,45.0002,-92.8549,285.0,America/Chicago,2022-05-06,2023-07-31,,,,,168922.4924992941
72745,Duluth International Airport,US,MN,72745,KDLH,46.8333,-92.2167,435.0,America/Chicago,1948-01-01,2023-07-31,1948-01-01,2023-07-23,1948-01-01,2022-01-01,169872.9024736694
KHIB0,Hibbing-Chisholm / Wilpen,US,MN,,KHIB,47.3866,-92.839,413.0,America/Chicago,1973-01-01,2023-07-31,1973-01-01,2022-04-24,1973-01-01,2022-01-01,170623.52653414969
72658,Minneapolis-St Paul International,US,MN,72658,KMSP,44.8667,-93.05,256.0,America/Chicago,1945-01-01,2023-07-31,1938-04-09,2023-07-23,1938-01-01,2022-01-01,172242.0642022539
KSUW0,Superior / South Superior,US,WI,,KSUW,46.6897,-92.0947,205.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2007-01-01,2022-01-01,172672.16047405606
KSGS0,Saint Paul / Inver Grove Heights,US,MN,,KSGS,44.8571,-93.0329,250.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,173858.66463949758
KRNH0,New Richmond / Woodbridge Trailer Court,US,WI,,KRNH,45.1478,-92.5392,304.0,America/Chicago,2006-01-01,2023-07-31,2006-01-02,2022-04-24,2007-01-01,2022-01-01,174031.89485566368
KAQP0,Appleton,US,MN,,KAQP,45.2275,-96.0043,311.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2007-01-01,2022-01-01,174190.18348514778
5KQCG,Mahnomen County Airport,US,MN,,K3N8,47.2605,-95.9281,383.0,America/Chicago,2022-05-06,2023-07-31,,,,,177011.29155159893
KDYT0,Duluth / East End,US,MN,,KDYT,46.7219,-92.0434,186.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2010-01-01,2022-01-01,177526.42478957807
KMVE0,Montevideo,US,MN,,KMVE,44.9691,-95.7103,316.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,177537.68733284567
KFOZ0,Bigfork,US,MN,,KFOZ,47.7828,-93.6502,412.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2007-01-01,2022-01-01,183470.69697330604
KBWP0,Wahpeton / Boise De Sioux Mobile Estates,US,ND,,KBWP,46.2443,-96.6072,295.0,America/Chicago,2006-01-01,2023-07-31,2006-01-06,2022-04-24,2006-01-01,2022-01-01,183583.46113159694
KETH0,Wheaton,US,MN,,KETH,45.7805,-96.5439,312.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,184737.60318808042
KOLG0,Solon Springs,US,WI,,KOLG,46.3148,-91.8164,336.0,America/Chicago,2020-01-14,2023-07-31,2020-01-14,2022-04-24,2020-01-01,2022-01-01,185664.82668415038
KUBE0,Cumberland,US,WI,,KUBE,45.506,-91.9811,379.0,America/Chicago,2011-03-09,2023-07-31,2011-03-12,2022-04-24,2012-01-01,2022-01-01,189126.7814531031
KLVN0,Minneapolis / Lakeville,US,MN,,KLVN,44.6279,-93.2281,293.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2007-01-01,2022-01-01,189230.83081422842
KGDB0,Granite Falls / Lorne,US,MN,,KGDB,44.7533,-95.556,319.0,America/Chicago,2006-01-01,2023-07-31,2006-01-04,2022-04-24,2006-01-01,2022-01-01,189633.85471757018
KEVM0,Eveleth / Genoa,US,MN,,KEVM,47.4251,-92.4981,420.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2009-01-01,2022-01-01,190815.2091176997
Z7ZOG,Redwood Falls Municipal Airport,US,MN,,KRWF,44.5483,-95.0804,312.0,America/Chicago,2022-04-23,2023-07-31,2022-04-24,2022-04-24,,,193375.91852112865
KFSE0,Fosston,US,MN,,KFSE,47.5928,-95.7735,390.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2007-01-01,2022-01-01,196386.62063979215
KVVV0,Ortonville / Hilltop Manor Mobile Home Park,US,MN,,KVVV,45.3057,-96.4244,336.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-25,2008-01-01,2022-01-01,196527.8113459075
KJKJ0,Moorhead / Park Lane Mobile Home Park,US,MN,,KJKJ,46.8393,-96.664,280.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,200670.37981731282
KDXX0,Madison,US,MN,,KDXX,44.9864,-96.1778,330.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2007-01-01,2022-01-01,201852.76667461317
KRPD0,Rice Lake / Cameron,US,WI,,KRPD,45.4201,-91.7733,338.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2011-01-01,2022-01-01,207834.71312114422
KULM0,New Ulm / Traulich Estates,US,MN,,KULM,44.3197,-94.5023,308.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,207979.59247011074
KSYN0,Stanton,US,MN,,KSYN,44.4755,-93.0163,280.0,America/Chicago,2006-01-01,2023-07-31,2006-01-04,2022-04-24,2006-01-01,2022-01-01,211680.85406281368
KTWM0,Two Harbors / Waldo,US,MN,,KTWM,47.0491,-91.7452,327.0,America/Chicago,2006-01-01,2023-07-31,2006-01-03,2022-04-24,2007-01-01,2021-01-01,212503.76736121712
KHYR0,Hayward,US,WI,,KHYR,46.0253,-91.4442,371.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2021-01-01,214923.98259291262
72753,Hector International Airport,US,ND,72753,KFAR,46.9333,-96.8167,274.0,America/Chicago,1948-01-01,2023-07-31,1891-05-19,2023-07-23,1891-01-01,2022-01-01,215275.85076514038
KCQM0,Cook,US,MN,,KCQM,47.8218,-92.6906,405.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,216423.10652991597
KFBL0,Faribault,US,MN,,KFBL,44.3275,-93.3107,323.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2007-01-01,2022-01-01,217987.1864448779
KMKT0,Mankato / Knollwood Park,US,MN,,KMKT,44.2228,-93.9193,311.0,America/Menominee,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,218899.91426045384
X9FED,Waskish Municipal Airport,US,MN,,KVWU,48.1501,-94.512,360.0,America/Chicago,2022-04-23,2023-07-31,2022-04-23,2022-04-25,,,220178.81019994486
K8D30,Sisseton,US,SD,,K8D3,45.6708,-96.9962,354.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-03-09,2006-01-01,2021-01-01,221820.27735869098
KRGK0,Red Wing / Oak Hill Mobile Home Park,US,MN,,KRGK,44.5894,-92.485,237.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,222914.92018629346
KY230,Chetek,US,WI,,KY23,45.3062,-91.6362,322.0,America/Chicago,2020-01-14,2023-07-31,2020-01-14,2022-04-25,2020-01-01,2022-01-01,222992.13856831056
KCNB0,Canby,US,MN,,KCNB,44.7295,-96.266,364.0,America/Chicago,2006-10-18,2023-07-31,2006-10-20,2022-04-24,2009-01-01,2022-01-01,226694.56400981438
KORB0,Orr / Glendale,US,MN,,KORB,48.0159,-92.8561,400.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-11,2006-01-01,2022-01-01,228884.17573905017
KMML0,Marshall,US,MN,,KMML,44.4517,-95.8244,361.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2008-01-01,2022-01-01,229334.97699135926
KLUM0,Menomonie / Rusk,US,WI,,KLUM,44.8923,-91.8678,273.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,232676.21079996045
CACQ0,Chatham / Vista-Villa Mobilehome Community,CA,NB,,CACQ,44.0735,-93.5529,343.0,America/Chicago,2006-01-01,2023-07-22,2006-01-04,2022-03-05,2006-01-01,2021-01-01,240030.31957271913
KACQ0,Waseca / Vista-Villa Mobilehome Community,US,MN,,KACQ,44.0735,-93.5529,344.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-19,2006-01-01,2022-01-01,240030.31957271913
KTKC0,Tracy,US,MN,,KTKC,44.2491,-95.6073,408.0,America/Chicago,2006-01-01,2023-07-31,2006-01-04,2022-04-01,2008-01-01,2022-01-01,240497.6609013202
KOWA0,Owatonna / Clinton Falls,US,MN,,KOWA,44.123000000000005,-93.2588,349.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,240871.20740867427
KBFW0,Silver Bay / Beaver Crossing,US,MN,,KBFW,47.248999999999995,-91.4156,332.0,America/Chicago,2006-01-01,2021-07-09,2006-01-01,2021-07-09,2006-01-01,2021-01-01,244822.12817312457
KJYG0,St James / Grogan,US,MN,,KJYG,43.9863,-94.5579,325.0,America/Chicago,2006-01-01,2023-07-31,2006-01-03,2022-04-24,2008-01-01,2022-01-01,245312.4345732317
KASX0,Ashland / Ashland Junction,US,WI,,KASX,46.5485,-90.919,252.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2022-01-01,256803.33453001594
UYB6K,Thief River Falls Regional Airport,US,MN,,KTVF,48.0667,-96.1833,340.0,America/Chicago,2022-04-23,2023-07-31,2022-04-23,2022-04-24,,,256924.7522968307
KELO0,Ely Municipal Airport / Northern Terrace Mobile Home Park,US,MN,,KELO,47.8246,-91.8307,444.0,America/Chicago,2006-01-01,2023-07-31,2006-01-01,2022-04-24,2006-01-01,2021-01-01,257587.7203820463
